OBJECTID,Wetland__1,SEQNUM,CFCA_EMT_I,Physiograp,Wetland_Ty,Hydrologic,Edge_Ref_1,Urban_Dens,ACRES_COMB,XCOORD_UTM,YCOORD_UTM,Column_,ORIG_FID
1,1,200024.000000000000000,SW-N3,Plain,2A-M,No,98.400000000000006,Low,4.574711282410622,392692.7187500,3117468.5000000,224.0000000,1
2,1,199284.000000000000000,SW-N3,Plain,2A-M,No,98.400000000000006,Low,16.703554617762855,392706.6250000,3117689.0000000,224.0000000,2
3,1,200025.000000000000000,SW-N3,Plain,2A-M,No,98.400000000000006,Low,0.366281108840453,392875.8750000,3117536.0000000,225.0000000,3
4,1,199285.000000000000000,SW-N3,Plain,2A-M,No,98.400000000000006,Low,7.361330110365323,392886.8437500,3117686.7500000,225.0000000,4
5,1,149000.000000000000000,SW-N1,Plain,2A-M,No,100.830000000000000,Low,0.000275671816190,406547.7187500,3143840.0000000,260.0000000,5
6,1,148260.000000000000000,SW-N1,Plain,2A-M,No,100.830000000000000,Low,6.506001168756108,406510.8750000,3144042.2500000,260.0000000,6
7,1,147520.000000000000000,SW-N1,Plain,2A-M,No,100.830000000000000,Low,0.933680216284266,406530.9375000,3144270.0000000,260.0000000,7
8,1,149001.000000000000000,SW-N1,Plain,2A-M,No,100.830000000000000,Low,4.643019186355120,406713.5312500,3143806.2500000,261.0000000,8
9,1,148261.000000000000000,SW-N1,Plain,2A-M,No,100.830000000000000,Low,30.864398974476952,406712.7812500,3144034.0000000,261.0000000,9
10,1,147521.000000000000000,SW-N1,Plain,2A-M,No,100.830000000000000,Low,23.424395471318231,406748.5000000,3144359.5000000,261.0000000,10
11,1,160842.000000000000000,SW-LM,Plain,1A,No,99.810000000000002,Low,1.860402528680812,407259.7187500,3137675.2500000,262.0000000,11
12,1,148262.000000000000000,SW-N1,Plain,2A-M,No,100.830000000000000,Low,0.000683518097082,406929.8437500,3144220.5000000,262.0000000,12
13,1,147522.000000000000000,SW-N1,Plain,2A-M,No,100.830000000000000,Low,0.995549353059763,406944.8750000,3144301.0000000,262.0000000,13
