FID,Field1,CFCA_EMT_I,sum_ACRES_,Site_Name,Original_S,Stress_Sta,Physiograp,Wetland_Ty,Hydrologic,Edge_Refer,Conversion,Edge_Ref_1,Longitude,Latitude,Urban_Dens
0,1,SF-LA,1.453883480000000,Walker Ranch - WR11,Not Stressed,Not Stressed,Plain,1A,No,67.680000000000007,-1.080000000000000,66.599999999999994,-81.404506999999995,28.083625999999999,Low
1,2,SF-LB,3.394969003000000,Walker Ranch - WR6,Not Stressed,Not Stressed,Plain,1A,No,64.469999999999999,-1.050000000000000,63.420000000000002,-81.412561999999994,28.113903000000001,Low
2,3,SF-N1,1.912843994000000,Walker Ranch WR-16,NA,Not Stressed,Plain,1A,No,64.799999999999997,-1.090000000000000,63.710000000000001,-81.392284000000004,28.077793000000000,Low
3,4,SF-N2,1.673188992000000,Walker Ranch WR-15,NA,Not Stressed,Plain,1A,No,64.140000000000001,-1.090000000000000,63.049999999999997,-81.390062000000000,28.082236000000002,Low
4,5,SF-WT,34.994744054000002,Split Oak,NA,Stressed,Plain,1A,No,0.000000000000000,0.000000000000000,68.450000000000003,-81.208902350000002,28.358425900000000,Moderate
5,6,SF-XZ,6.482976944000000,Walker Ranch - WR9,Not Stressed,Not Stressed,Plain,1A,No,68.340000000000003,-1.050000000000000,67.290000000000006,-81.418795000000003,28.109258000000001,Low
6,7,SF-YK,3.545701010000000,Tibet Butler,Stressed,Not Stressed,Plain,1A,No,101.569999999999990,-0.870000000000000,100.700000000000000,-81.537111999999993,28.446165000000001,Moderate
7,8,SJ-EV,121.931097670000000,Long Lake,Stressed,Stressed,Ridge,1F,No,68.810000000000002,-0.930000000000000,67.879999999999995,-81.469958000000005,28.617014000000001,High
8,9,SJ-LA,19.378116896000002,Unnamed Cypress,Not Stressed,Not Stressed,Plain,1A,No,70.439999999999998,-1.090000000000000,69.349999999999994,-81.119699999999995,28.566631999999998,Moderate
9,10,SJ-LB,5.968290529000000,Unnamed Wetland Nr SR 46,Stressed,Stressed,Ridge,1E,No,69.370000000000005,-1.020000000000000,68.349999999999994,-81.360359000000003,28.810518999999999,High
10,11,SJ-LC,457.555464358999980,Boggy Marsh,Stressed,Stressed,Plain,1A,No,118.819999999999990,-0.860000000000000,117.959999999999990,-81.697513999999998,28.396950000000000,Moderate
11,12,SJ-LE,203.871390961999990,Lake Avalon,Stressed,Stressed,Ridge,1F,No,96.680000000000007,-0.880000000000000,95.799999999999997,-81.642740000000003,28.510179999999998,High
12,13,SJ-LF,25.282486934000001,Lake Apshawa,Stressed,Stressed,Ridge,1F,No,87.650000000000006,-0.890000000000000,86.760000000000005,-81.773330000000001,28.599640000000001,Moderate
13,14,SJ-LH,137.227807767999990,Island Lake,Stressed,Not Stressed,Plain,2A-M,No,87.489999999999995,-1.040000000000000,86.450000000000003,-81.363090999999997,28.696596000000000,High
14,15,SJ-LI,186.352524364000000,Lake Sylvan,Not Stressed,Stressed,Plain,1E,No,0.000000000000000,0.000000000000000,42.009999999999998,-81.379811000000004,28.803796999999999,Low
15,16,SJ-LJ,702.607130832000050,Lake Louisa,NA,Stressed,Ridge,2F,No,97.290000000000006,-0.870000000000000,96.420000000000002,-81.746949999999998,28.463460000000001,Moderate
16,17,SJ-LL,51.981355909000001,"City of Cocoa, Well 9T",Not Stressed,Not Stressed,Plain,2D,No,74.140000000000001,-1.140000000000000,73.000000000000000,-81.053314000000000,28.394303000000001,Low
17,18,SJ-N1,57.329925778000003,Red Bug Lake,NA,Stressed,Plain,1E,No,69.609999999999999,-1.060000000000000,68.549999999999997,-81.290839000000005,28.648638999999999,Moderate
18,19,SJ-N2,16.449270835000000,Chapman Marsh,NA,Stressed,Plain,2A-M,No,66.959999999999994,-1.070000000000000,65.890000000000001,-81.193905999999998,28.641027999999999,Moderate
19,20,SJ-QA,226.790190525000010,Church Lake,Stressed,Stressed,Ridge,1F,Yes,90.370000000000005,-0.880000000000000,89.489999999999995,-81.841699000000006,28.644936999999999,Moderate
20,21,SJ-QB,833.826816087000000,Johns Lake,Not Stressed,Not Stressed,Ridge,1F,No,97.420000000000002,-0.880000000000000,96.540000000000006,-81.657584999999997,28.531825000000001,High
21,22,SJ-QC,27.271933320999999,Trout Lake,Not Stressed,Not Stressed,Ridge,1F,No,97.599999999999994,-0.860000000000000,96.739999999999995,-81.712211999999994,28.447998999999999,Moderate
22,23,SW-AA,4.773634967000000,Green Swamp #7,Not Stressed,Not Stressed,Plain,1A,No,0.000000000000000,0.000000000000000,105.950000000000000,-81.911111000000005,28.312611000000000,Low
23,24,SW-JJ,264.629501946999990,Lake Garfield,Not Stressed,Not Stressed,Ridge,1F,Yes,105.530000000000000,-0.900000000000000,104.630000000000000,-81.723410000000001,27.900860000000002,Moderate
24,25,SW-LM,1.933721234000000,"Green Swamp #1, #298",Not Stressed,Not Stressed,Plain,1A,No,100.599999999999990,-0.790000000000000,99.810000000000002,-81.946754999999996,28.361409999999999,Low
25,26,SW-MM,39.305272811000002,Lake Wales,Stressed,Not Stressed,Ridge,1F,No,111.349999999999990,-0.970000000000000,110.380000000000000,-81.578689999999995,27.903910000000000,Moderate
26,27,SW-N1,67.368003553999998,Green Swamp Bay,NA,Not Stressed,Plain,2A-M,No,0.000000000000000,0.000000000000000,100.830000000000000,-81.953699999999998,28.421800000000001,Low
27,28,SW-N2,2.073350549000000,Green Swamp #4,NA,Not Stressed,Plain,1A,No,0.000000000000000,0.000000000000000,102.010000000000010,-81.931100000000001,28.391900000000000,Low
28,29,SW-N3,29.005877121000001,Alston Bay,NA,Not Stressed,Plain,2A-M,No,0.000000000000000,0.000000000000000,98.400000000000006,-82.090599999999995,28.180399999999999,Low
29,30,SW-N4,22.675731439000000,NE Lakeland Wellfield G,NA,Not Stressed,Plain,2A-M,No,0.000000000000000,0.000000000000000,134.319999999999990,-81.902779600000002,28.170353960000000,Moderate
30,31,SW-N5,60.217663516000002,NE Lakeland Wellfield J,NA,Not Stressed,Plain,2A-M,No,0.000000000000000,0.000000000000000,134.160000000000000,-81.888300000000001,28.165199999999999,Moderate
31,32,SW-N6,9.345455003000000,NE Lakeland Wellfield K,NA,Not Stressed,Plain,1A,No,0.000000000000000,0.000000000000000,134.430000000000010,-81.896199999999993,28.161000000000001,Moderate
32,33,SW-N7,14.841457007000001,Van Fleet #2,NA,Not Stressed,Plain,1A,No,126.700000000000000,-0.860000000000000,125.840000000000000,-81.663399999999996,28.242200000000000,High
