OBJECTID,CFCA_ID,ACRES_2019,CFCA_ID_1,SiteName,Lake_Wetla,Subsiden_1,FISSURE_V,INVADING_V,EXP_ROOT_V,LEANFALL_V,DEAD_DYE_V,Success,Ridge_or_Plains,Stressed,Ridge,Lon,Lat,WET_NEW,Floodplain,HydroClass,Acres,Classification,Kevin_s_Remark,Kym_s_Kris_s_Lisa_s_Comments,Row,SEQNUM,Column_,ACRES_COMB,XCOORD_UTM,YCOORD_UTM
1,SF-AC,6.6968722,SF-AC,"N of L Weohyakapka, east of L Wales Ridge",W,NO,NO,NO,NO,NO,NO,NO,Plains,NO,NO,-81.424031999999997,27.862624000000000,DEPRESSION MARSH,,1A Depressional Mesic,6.701419064690000,In both spreadsheets,,Include,364.000000000000000,269016.000000000000000,396.0000000,5.8285890,458257.0000000,3082038.5000000
2,SF-AC,6.6968722,SF-AC,"N of L Weohyakapka, east of L Wales Ridge",W,NO,NO,NO,NO,NO,NO,NO,Plains,NO,NO,-81.424031999999997,27.862624000000000,DEPRESSION MARSH,,1A Depressional Mesic,6.701419064690000,In both spreadsheets,,Include,363.000000000000000,268276.000000000000000,396.0000000,0.8682832,458250.3750000,3082139.5000000
3,SF-AD,2.4136486,SF-AD,"N of L Weohyakapka, east of L Wales Ridge",W,NO,NO,YES,NO,NO,NO,YES,Plains,YES,NO,-81.417805999999999,27.862677999999999,DEPRESSION MARSH,,1A Depressional Mesic,2.415295639510000,In both spreadsheets,,Include,364.000000000000000,269018.000000000000000,398.0000000,2.3327835,458869.4062500,3082059.5000000
4,SF-AD,2.4136486,SF-AD,"N of L Weohyakapka, east of L Wales Ridge",W,NO,NO,YES,NO,NO,NO,YES,Plains,YES,NO,-81.417805999999999,27.862677999999999,DEPRESSION MARSH,,1A Depressional Mesic,2.415295639510000,In both spreadsheets,,Include,363.000000000000000,268278.000000000000000,398.0000000,0.0808651,458879.2812500,3082123.2500000
5,SF-AF,34.1772308,SF-AF,Lake Ruby,L,NO,NO,YES,NO,NO,NO,NO,Ridge,YES,YES,-81.499285999999998,28.397880000000001,RIDGE LAKES,,1F Xeric Lakes,60.222540818500001,In both spreadsheets,,Include,209.000000000000000,154297.000000000000000,377.0000000,2.8444173,451091.4375000,3141081.2500000
6,SF-AF,34.1772308,SF-AF,Lake Ruby,L,NO,NO,YES,NO,NO,NO,NO,Ridge,YES,YES,-81.499285999999998,28.397880000000001,RIDGE LAKES,,1F Xeric Lakes,60.222540818500001,In both spreadsheets,,Include,208.000000000000000,153557.000000000000000,377.0000000,4.2988787,451082.4687500,3141283.2500000
7,SF-AF,34.1772308,SF-AF,Lake Ruby,L,NO,NO,YES,NO,NO,NO,NO,Ridge,YES,YES,-81.499285999999998,28.397880000000001,RIDGE LAKES,,1F Xeric Lakes,60.222540818500001,In both spreadsheets,,Include,209.000000000000000,154298.000000000000000,378.0000000,12.4172449,451315.7500000,3140973.5000000
8,SF-AF,34.1772308,SF-AF,Lake Ruby,L,NO,NO,YES,NO,NO,NO,NO,Ridge,YES,YES,-81.499285999999998,28.397880000000001,RIDGE LAKES,,1F Xeric Lakes,60.222540818500001,In both spreadsheets,,Include,208.000000000000000,153558.000000000000000,378.0000000,12.1915302,451220.5000000,3141419.5000000
9,SF-AF,34.1772308,SF-AF,Lake Ruby,L,NO,NO,YES,NO,NO,NO,NO,Ridge,YES,YES,-81.499285999999998,28.397880000000001,RIDGE LAKES,,1F Xeric Lakes,60.222540818500001,In both spreadsheets,,Include,209.000000000000000,154299.000000000000000,379.0000000,0.8326585,451522.0625000,3141125.7500000
10,SF-AF,34.1772308,SF-AF,Lake Ruby,L,NO,NO,YES,NO,NO,NO,NO,Ridge,YES,YES,-81.499285999999998,28.397880000000001,RIDGE LAKES,,1F Xeric Lakes,60.222540818500001,In both spreadsheets,,Include,208.000000000000000,153559.000000000000000,379.0000000,1.5925027,451523.5625000,3141257.2500000
11,SF-AG,2.1479273,SF-AG,E of RIBS at Lk Marion Cr Dr and Hemlock,L,NO,NO,NO,NO,NO,NO,NO,Ridge,NO,NO,-81.489922000000007,28.061480000000000,BASIN MARSH,,2A-X Isolated Ridges,2.149380915200000,In both spreadsheets,,Include,306.000000000000000,226079.000000000000000,379.0000000,2.0057054,451852.4375000,3104079.5000000
12,SF-AG,2.1479273,SF-AG,E of RIBS at Lk Marion Cr Dr and Hemlock,L,NO,NO,NO,NO,NO,NO,NO,Ridge,NO,NO,-81.489922000000007,28.061480000000000,BASIN MARSH,,2A-X Isolated Ridges,2.149380915200000,In both spreadsheets,,Include,306.000000000000000,226080.000000000000000,380.0000000,0.1422220,451895.4062500,3104140.5000000
13,SF-AJ,8.6905746,SF-AJ,W of San Miguel (off Marigold),W,NO,NO,NO,NO,NO,NO,NO,Plains,NO,NO,-81.510352999999995,28.172218000000001,DOME SWAMPS,,1A Depressional Mesic,8.696474104420000,In both spreadsheets,,Include,274.000000000000000,202394.000000000000000,374.0000000,6.7991242,449909.0937500,3116314.0000000
14,SF-AJ,8.6905746,SF-AJ,W of San Miguel (off Marigold),W,NO,NO,NO,NO,NO,NO,NO,Plains,NO,NO,-81.510352999999995,28.172218000000001,DOME SWAMPS,,1A Depressional Mesic,8.696474104420000,In both spreadsheets,,Include,273.000000000000000,201654.000000000000000,374.0000000,0.6064126,449855.8125000,3116422.0000000
15,SF-AJ,8.6905746,SF-AJ,W of San Miguel (off Marigold),W,NO,NO,NO,NO,NO,NO,NO,Plains,NO,NO,-81.510352999999995,28.172218000000001,DOME SWAMPS,,1A Depressional Mesic,8.696474104420000,In both spreadsheets,,Include,274.000000000000000,202395.000000000000000,375.0000000,1.2850376,450001.0000000,3116304.5000000
16,SF-AL,2.3396208,SF-AL,Along County Rd. 535,W,NO,NO,NO,NO,NO,NO,NO,Plains,NO,NO,-81.463183999999998,28.248110000000000,DEPRESSION MARSH,,1A Depressional Mesic,1.929331815630000,In both spreadsheets,,Include,252.000000000000000,186126.000000000000000,386.0000000,0.8972803,454527.6250000,3124758.2500000
17,SF-AL,2.3396208,SF-AL,Along County Rd. 535,W,NO,NO,NO,NO,NO,NO,NO,Plains,NO,NO,-81.463183999999998,28.248110000000000,DEPRESSION MARSH,,1A Depressional Mesic,1.929331815630000,In both spreadsheets,,Include,251.000000000000000,185386.000000000000000,386.0000000,0.2962874,454531.0312500,3124802.2500000
18,SF-AL,2.3396208,SF-AL,Along County Rd. 535,W,NO,NO,NO,NO,NO,NO,NO,Plains,NO,NO,-81.463183999999998,28.248110000000000,DEPRESSION MARSH,,1A Depressional Mesic,1.929331815630000,In both spreadsheets,,Include,252.000000000000000,186127.000000000000000,387.0000000,0.7633105,454577.5312500,3124759.7500000
19,SF-AL,2.3396208,SF-AL,Along County Rd. 535,W,NO,NO,NO,NO,NO,NO,NO,Plains,NO,NO,-81.463183999999998,28.248110000000000,DEPRESSION MARSH,,1A Depressional Mesic,1.929331815630000,In both spreadsheets,,Include,251.000000000000000,185387.000000000000000,387.0000000,0.3827426,454577.9375000,3124806.0000000
20,SF-AM,1.1332283,SF-AM,Off Fischer E of US 27,W,NO,NO,NO,NO,NO,NO,NO,Ridge,NO,YES,-81.641838000000007,28.268554000000002,DEPRESSION MARSH,,1B Depressional Xeric,1.133990682980000,In both spreadsheets,,Include,245.000000000000000,180900.000000000000000,340.0000000,0.0676008,437025.4375000,3127119.2500000
21,SF-AM,1.1332283,SF-AM,Off Fischer E of US 27,W,NO,NO,NO,NO,NO,NO,NO,Ridge,NO,YES,-81.641838000000007,28.268554000000002,DEPRESSION MARSH,,1B Depressional Xeric,1.133990682980000,In both spreadsheets,,Include,245.000000000000000,180901.000000000000000,341.0000000,1.0656275,437056.3437500,3127120.7500000
22,SF-AN,20.9637470,SF-AN,Off Mor Tay Rd,W,NO,NO,NO,NO,NO,NO,NO,Ridge,NO,YES,-81.609696000000000,28.280232999999999,STRAND SWAMPS,,2A-X Isolated Ridges,20.977977525899998,In both spreadsheets,,Include,242.000000000000000,178688.000000000000000,348.0000000,0.2159226,440070.0312500,3128453.2500000
23,SF-AN,20.9637470,SF-AN,Off Mor Tay Rd,W,NO,NO,NO,NO,NO,NO,NO,Ridge,NO,YES,-81.609696000000000,28.280232999999999,STRAND SWAMPS,,2A-X Isolated Ridges,20.977977525899998,In both spreadsheets,,Include,242.000000000000000,178689.000000000000000,349.0000000,20.6618385,440240.7500000,3128395.2500000
24,SF-AN,20.9637470,SF-AN,Off Mor Tay Rd,W,NO,NO,NO,NO,NO,NO,NO,Ridge,NO,YES,-81.609696000000000,28.280232999999999,STRAND SWAMPS,,2A-X Isolated Ridges,20.977977525899998,In both spreadsheets,,Include,241.000000000000000,177949.000000000000000,349.0000000,0.0859862,440142.6250000,3128605.5000000
25,SF-AS,139.7699432,SF-AS,End of Cypress Rd across golf green,W,YES,NO,NO,YES,NO,NO,NO,Ridge,YES,YES,-81.616511000000003,28.359224000000001,STRAND SWAMPS,,2D Strands/Sloughs,144.823518328000010,"Not in Kevin's spreadsheet, but in mine",,Include,223.000000000000000,164626.000000000000000,346.0000000,0.0676823,439300.8750000,3135834.5000000
26,SF-AS,139.7699432,SF-AS,End of Cypress Rd across golf green,W,YES,NO,NO,YES,NO,NO,NO,Ridge,YES,YES,-81.616511000000003,28.359224000000001,STRAND SWAMPS,,2D Strands/Sloughs,144.823518328000010,"Not in Kevin's spreadsheet, but in mine",,Include,222.000000000000000,163886.000000000000000,346.0000000,3.1828365,439297.2187500,3136032.0000000
27,SF-AS,139.7699432,SF-AS,End of Cypress Rd across golf green,W,YES,NO,NO,YES,NO,NO,NO,Ridge,YES,YES,-81.616511000000003,28.359224000000001,STRAND SWAMPS,,2D Strands/Sloughs,144.823518328000010,"Not in Kevin's spreadsheet, but in mine",,Include,221.000000000000000,163146.000000000000000,346.0000000,3.5354667,439300.1562500,3136411.0000000
28,SF-AS,139.7699432,SF-AS,End of Cypress Rd across golf green,W,YES,NO,NO,YES,NO,NO,NO,Ridge,YES,YES,-81.616511000000003,28.359224000000001,STRAND SWAMPS,,2D Strands/Sloughs,144.823518328000010,"Not in Kevin's spreadsheet, but in mine",,Include,220.000000000000000,162406.000000000000000,346.0000000,0.3223614,439289.5937500,3136613.7500000
29,SF-AS,139.7699432,SF-AS,End of Cypress Rd across golf green,W,YES,NO,NO,YES,NO,NO,NO,Ridge,YES,YES,-81.616511000000003,28.359224000000001,STRAND SWAMPS,,2D Strands/Sloughs,144.823518328000010,"Not in Kevin's spreadsheet, but in mine",,Include,223.000000000000000,164627.000000000000000,347.0000000,0.4495296,439399.4375000,3135834.0000000
30,SF-AS,139.7699432,SF-AS,End of Cypress Rd across golf green,W,YES,NO,NO,YES,NO,NO,NO,Ridge,YES,YES,-81.616511000000003,28.359224000000001,STRAND SWAMPS,,2D Strands/Sloughs,144.823518328000010,"Not in Kevin's spreadsheet, but in mine",,Include,222.000000000000000,163887.000000000000000,347.0000000,19.3445835,439422.5312500,3136043.0000000
31,SF-AS,139.7699432,SF-AS,End of Cypress Rd across golf green,W,YES,NO,NO,YES,NO,NO,NO,Ridge,YES,YES,-81.616511000000003,28.359224000000001,STRAND SWAMPS,,2D Strands/Sloughs,144.823518328000010,"Not in Kevin's spreadsheet, but in mine",,Include,221.000000000000000,163147.000000000000000,347.0000000,27.0195885,439467.0625000,3136438.0000000
32,SF-AS,139.7699432,SF-AS,End of Cypress Rd across golf green,W,YES,NO,NO,YES,NO,NO,NO,Ridge,YES,YES,-81.616511000000003,28.359224000000001,STRAND SWAMPS,,2D Strands/Sloughs,144.823518328000010,"Not in Kevin's spreadsheet, but in mine",,Include,220.000000000000000,162407.000000000000000,347.0000000,24.1513824,439490.8125000,3136774.0000000
33,SF-AS,139.7699432,SF-AS,End of Cypress Rd across golf green,W,YES,NO,NO,YES,NO,NO,NO,Ridge,YES,YES,-81.616511000000003,28.359224000000001,STRAND SWAMPS,,2D Strands/Sloughs,144.823518328000010,"Not in Kevin's spreadsheet, but in mine",,Include,219.000000000000000,161667.000000000000000,347.0000000,17.6927948,439607.0312500,3137123.7500000
34,SF-AS,139.7699432,SF-AS,End of Cypress Rd across golf green,W,YES,NO,NO,YES,NO,NO,NO,Ridge,YES,YES,-81.616511000000003,28.359224000000001,STRAND SWAMPS,,2D Strands/Sloughs,144.823518328000010,"Not in Kevin's spreadsheet, but in mine",,Include,218.000000000000000,160927.000000000000000,347.0000000,0.3620582,439683.3437500,3137396.0000000
35,SF-AS,139.7699432,SF-AS,End of Cypress Rd across golf green,W,YES,NO,NO,YES,NO,NO,NO,Ridge,YES,YES,-81.616511000000003,28.359224000000001,STRAND SWAMPS,,2D Strands/Sloughs,144.823518328000010,"Not in Kevin's spreadsheet, but in mine",,Include,221.000000000000000,163148.000000000000000,348.0000000,2.0062542,439742.6562500,3136560.5000000
